User_ID,Age,Gender,Location,Device_Type,Ad_Platform,Viewing_Hours,Clicks,Purchase_Made,Income,Ad_Spent,Demographic_Group,Frequency,Engagement_Score
1,48,Male,Rural,Desktop,Streaming,4.207828140763116,4,No,101069.46645606663,173.5107136307115,D,5,12.813299959089175
2,35,Male,Suburban,Desktop,Streaming,3.4802649305349598,2,Yes,72834.38878703091,133.85525107203463,D,9,78.74485935686512
3,39,Other,Suburban,Tablet,Digital,2.178990951975414,1,No,31738.387343392853,236.2980904442868,B,18,3.5824873725929685
4,35,Male,Suburban,Mobile,Social Media,8.412010218929153,2,No,112039.13710524974,825.8047934047535,B,5,80.57111921900406
5,62,Other,Rural,Desktop,Digital,7.924670005431112,6,No,122755.39133135733,524.2388124305287,B,12,38.841343862433334
6,32,Female,Suburban,Desktop,TV,3.8432652959301308,1,No,127453.75981760478,404.5751809901761,C,12,94.14971493619161
7,43,Female,Rural,Mobile,TV,1.6935785034090922,4,No,83698.37044074609,691.8198210983585,B,9,24.30499613187007
8,50,Female,Suburban,Desktop,Digital,9.519882472610021,0,Yes,146867.23412938556,186.74813036772898,A,14,58.32740052809741
9,46,Other,Rural,Mobile,Digital,3.1585999848096913,4,No,123970.06894142779,726.9055895208711,A,12,27.23488241492873
10,51,Male,Suburban,Tablet,Streaming,7.710917218837077,2,Yes,77215.86040952575,373.5258465152137,C,14,90.38581031458557
11,44,Female,Rural,Tablet,Streaming,4.630495696322142,2,No,32929.47590134649,871.0675846605261,D,3,69.97392077185015
12,53,Other,Urban,Tablet,Social Media,7.8164596500438455,2,Yes,53069.63447770537,751.8107590953472,B,7,34.63107696522053
13,31,Other,Urban,Tablet,Streaming,4.816092461102119,2,No,120378.29715108479,889.854264334072,D,4,48.2224645737278
14,35,Female,Urban,Tablet,TV,9.255598038483326,3,No,134355.66101836838,266.28872715323337,A,2,99.09664169044919
15,45,Female,Suburban,Desktop,TV,8.004233740422372,0,No,106116.3050369149,233.53193031423675,C,12,39.85608039175991
16,39,Female,Rural,Tablet,Digital,2.60289037723086,3,Yes,70429.80038916721,740.2553537586506,C,2,4.194001685808191
17,31,Male,Urban,Desktop,Social Media,4.303777752051258,1,Yes,66277.98285704387,928.9973279410626,D,12,96.83749319558451
18,42,Male,Suburban,Desktop,Streaming,1.0058980639423765,2,No,66642.54306710087,824.3826934341148,D,9,97.09609487107069
19,33,Other,Rural,Mobile,Social Media,9.03471313169721,0,No,83890.931637526,946.5146310618067,B,1,63.456123841962075
20,27,Female,Urban,Desktop,TV,0.6929632195782109,2,Yes,114355.95350732053,110.00356730811727,C,5,51.64247869631866
21,34,Female,Urban,Desktop,TV,0.18241608245331387,2,No,41208.27497912195,260.8095627595726,A,12,87.12860924845458
22,,Male,Suburban,Tablet,Streaming,4.964330652134624,2,No,22717.304375472955,656.6602220944325,C,15,99.81211156258043
23,34,Female,Rural,Tablet,Streaming,6.031291064929411,1,No,29938.99288413576,480.4960150897799,A,8,99.20308878281419
